288.3067122,-0.555335912,1026.371896
288.3125818,-0.551049738,1026.392791
288.3184513,-0.554088284,1026.413687
288.3243208,-0.541078243,1026.434582
288.3301903,-0.533920705,1026.455478
288.3360599,-0.534060188,1026.476373
288.3419294,-0.529173178,1026.497269
288.3477989,-0.515264583,1026.518164
288.3536685,-0.522293727,1026.53906
288.359538,-0.529927992,1026.559955
288.3654075,-0.530087223,1026.580851
288.371277,-0.577905458,1026.601746
288.3771466,-0.601191327,1026.622642
288.3830161,-0.592089153,1026.643537
288.3888856,-0.597535334,1026.664433
288.3947552,-0.602320055,1026.685328
288.4006247,-0.557321925,1026.706224
288.4064942,-0.539618098,1026.727119
288.4123637,-0.561128519,1026.748015
288.4182333,-0.553920153,1026.76891
288.4241028,-0.576148832,1026.789806
288.4299723,-0.599246596,1026.810701
288.4358419,-0.596161767,1026.831597
288.4417114,-0.575893209,1026.852493
288.4475809,-0.593158336,1026.873388
288.4534504,-0.596742763,1026.894284
288.45932,-0.592503329,1026.915179
288.4651895,-0.595412604,1026.936075
288.471059,-0.574575189,1026.95697
288.4769286,-0.578963322,1026.977866
288.4827981,-0.577275809,1026.998761
288.4886676,-0.582979083,1027.019657
288.4945371,-0.581807466,1027.040552
288.5004067,-0.573900352,1027.061448
288.5062762,-0.555955848,1027.082343
288.5121457,-0.542102909,1027.103239
288.5180153,-0.563466118,1027.124134
288.5238848,-0.56226667,1027.14503
288.5297543,-0.561294487,1027.165925
288.5356238,-0.559380662,1027.186821
288.5414934,-0.548942666,1027.207716
288.5473629,-0.543471255,1027.228612
288.5532324,-0.54723253,1027.249507
288.559102,-0.568490102,1027.270403
288.5649715,-0.57186184,1027.291299
288.570841,-0.57441604,1027.312194
288.5767105,-0.579642165,1027.33309
288.5825801,-0.550966499,1027.353985
288.5884496,-0.547243818,1027.374881
288.5943191,-0.554370266,1027.395776
288.6001887,-0.53766605,1027.416672
288.6060582,-0.574665918,1027.437567
288.6119277,-0.587405208,1027.458463
288.6177972,-0.621104532,1027.479358
288.6236668,-0.629806994,1027.500254
288.6295363,-0.621121518,1027.521149
288.6354058,-0.599134269,1027.542045
288.6412754,-0.546514011,1027.56294
288.6471449,-0.550425612,1027.583836
288.6530144,-0.555110908,1027.604731
288.658884,-0.584120811,1027.625627
288.6647535,-0.607789037,1027.646522
288.670623,-0.603586429,1027.667418
288.6764925,-0.575700425,1027.688313
288.6823621,-0.550459165,1027.709209
288.6882316,-0.553277606,1027.730104
288.6941011,-0.548623541,1027.751
288.6999707,-0.562543606,1027.771896
288.7058402,-0.561052197,1027.792791
288.7117097,-0.548449396,1027.813687
288.7175792,-0.563346672,1027.834582
288.7234488,-0.561676372,1027.855478
288.7293183,-0.570362832,1027.876373
288.7351878,-0.570083858,1027.897269
288.7410574,-0.567247816,1027.918164
288.7469269,-0.548589628,1027.93906
288.7527964,-0.546816617,1027.959955
288.7586659,-0.554699374,1027.980851
288.7645355,-0.569519022,1028.001746
288.770405,-0.579877158,1028.022642
288.7762745,-0.586561494,1028.043537
288.7821441,-0.56938968,1028.064433
288.7880136,-0.556244581,1028.085328
288.7938831,-0.551677514,1028.106224
288.7997526,-0.539427512,1028.127119
288.8056222,-0.558034095,1028.148015
288.8114917,-0.555510042,1028.16891
288.8173612,-0.530212451,1028.189806
288.8232308,-0.534668747,1028.210701
288.8291003,-0.536944363,1028.231597
288.8349698,-0.521523217,1028.252493
288.8408393,-0.56272822,1028.273388
288.8467089,-0.538258245,1028.294284
288.8525784,-0.507437541,1028.315179
288.8584479,-0.521023795,1028.336075
288.8643175,-0.504671018,1028.35697
288.870187,-0.53107536,1028.377866
288.8760565,-0.540447154,1028.398761
288.881926,-0.536361698,1028.419657
288.8877956,-0.551300951,1028.440552
288.8936651,-0.551760749,1028.461448
288.8995346,-0.557732994,1028.482343
288.9054042,-0.555169859,1028.503239
288.9112737,-0.564049544,1028.524134
288.9171432,-0.5569789,1028.54503
288.9230127,-0.559403805,1028.565925
288.9288823,-0.539466063,1028.586821
288.9347518,-0.513630084,1028.607716
288.9406213,-0.505987418,1028.628612
288.9464909,-0.498726892,1028.649507
288.9523604,-0.495604862,1028.670403
288.9582299,-0.535076866,1028.691299
288.9640994,-0.543786099,1028.712194
288.969969,-0.539836326,1028.73309
288.9758385,-0.570818135,1028.753985
288.981708,-0.529628482,1028.774881
288.9875776,-0.510508296,1028.795776
288.9934471,-0.525539665,1028.816672
288.9993166,-0.514970266,1028.837567
289.0051861,-0.548066868,1028.858463
289.0110557,-0.549366209,1028.879358
289.0169252,-0.540425378,1028.900254
289.0227947,-0.529464571,1028.921149
289.0286643,-0.503454523,1028.942045
289.0345338,-0.544887419,1028.96294
289.0404033,-0.519661611,1028.983836
289.0462728,-0.536375477,1029.004731
289.0521424,-0.516963468,1029.025627
289.0580119,-0.490091662,1029.046522
289.0638814,-0.531472037,1029.067418
289.069751,-0.529672163,1029.088313
289.0756205,-0.549033343,1029.109209
289.08149,-0.559790085,1029.130104
289.0873596,-0.554481569,1029.151
289.0932291,-0.552890409,1029.171896
289.0990986,-0.545871783,1029.192791
289.1049681,-0.535245463,1029.213687
289.1108377,-0.532584436,1029.234582
289.1167072,-0.537317197,1029.255478
289.1225767,-0.538842433,1029.276373
289.1284463,-0.560148393,1029.297269
289.1343158,-0.555706741,1029.318164
289.1401853,-0.548110323,1029.33906
289.1460548,-0.577882708,1029.359955
289.1519244,-0.530609034,1029.380851
289.1577939,-0.512181925,1029.401746
289.1636634,-0.523989516,1029.422642
289.169533,-0.494174891,1029.443537
